Ngay_thang_nam,Nam,Thang,Ngay,H
2021-12-21,2021,12,21,60.0
2021-12-22,2021,12,22,51.0
2021-12-23,2021,12,23,50.0
2021-12-24,2021,12,24,50.0
2021-12-25,2021,12,25,51.0
2021-12-26,2021,12,26,54.0
2021-12-27,2021,12,27,61.0
2021-12-28,2021,12,28,57.0
2021-12-29,2021,12,29,42.0
2021-12-30,2021,12,30,22.0
2021-12-31,2021,12,31,23.0
2022-01-01,2022,1,1,27.0
2022-01-02,2022,1,2,33.0
2022-01-03,2022,1,3,39.0
2022-01-04,2022,1,4,42.0
2022-01-05,2022,1,5,45.0
2022-01-06,2022,1,6,47.0
2022-01-07,2022,1,7,48.0
2022-01-08,2022,1,8,45.0
2022-01-09,2022,1,9,47.0
2022-01-10,2022,1,10,33.0
2022-01-11,2022,1,11,14.0
2022-01-12,2022,1,12,13.0
2022-01-13,2022,1,13,20.0
2022-01-14,2022,1,14,20.0
2022-01-15,2022,1,15,22.0
2022-01-16,2022,1,16,25.0
2022-01-17,2022,1,17,35.0
2022-01-18,2022,1,18,38.0
2022-01-19,2022,1,19,44.0
2022-01-20,2022,1,20,62.0
2022-01-21,2022,1,21,75.0
2022-01-22,2022,1,22,92.0
2022-01-23,2022,1,23,104.0
2022-01-24,2022,1,24,97.0
2022-01-25,2022,1,25,81.0
2022-01-26,2022,1,26,59.0
2022-01-27,2022,1,27,54.0
2022-01-28,2022,1,28,65.0
2022-01-29,2022,1,29,78.0
2022-01-30,2022,1,30,86.0
2022-01-31,2022,1,31,89.0
2022-02-01,2022,2,1,85.0
2022-02-02,2022,2,2,81.0
2022-02-03,2022,2,3,78.0
2022-02-04,2022,2,4,73.0
2022-02-05,2022,2,5,62.0
2022-02-06,2022,2,6,59.0
2022-02-07,2022,2,7,60.0
2022-02-08,2022,2,8,58.0
2022-02-09,2022,2,9,61.0
2022-02-10,2022,2,10,67.0
2022-02-11,2022,2,11,86.0
2022-02-12,2022,2,12,92.0
2022-02-13,2022,2,13,102.0
2022-02-14,2022,2,14,100.0
2022-02-15,2022,2,15,101.0
2022-02-16,2022,2,16,104.0
2022-02-17,2022,2,17,106.0
2022-02-18,2022,2,18,105.0
2022-02-19,2022,2,19,109.0
2022-02-20,2022,2,20,136.0
2022-02-21,2022,2,21,203.0
2022-02-22,2022,2,22,204.0
2022-02-23,2022,2,23,177.0
2022-02-24,2022,2,24,148.0
2022-02-25,2022,2,25,123.0
2022-02-26,2022,2,26,109.0
2022-02-27,2022,2,27,99.0
2022-02-28,2022,2,28,91.0
2022-03-01,2022,3,1,82.0
2022-03-02,2022,3,2,73.0
2022-03-03,2022,3,3,67.0
2022-03-04,2022,3,4,66.0
2022-03-05,2022,3,5,63.0
2022-03-06,2022,3,6,55.0
2022-03-07,2022,3,7,65.0
2022-03-08,2022,3,8,88.0
2022-03-09,2022,3,9,96.0
2022-03-10,2022,3,10,90.0
2022-03-11,2022,3,11,84.0
2022-03-12,2022,3,12,75.0
2022-03-13,2022,3,13,64.0
2022-03-14,2022,3,14,56.0
2022-03-15,2022,3,15,47.0
2022-03-16,2022,3,16,43.0
2022-03-17,2022,3,17,46.0
2022-03-18,2022,3,18,46.0
2022-03-19,2022,3,19,45.0
2022-03-20,2022,3,20,52.0
2022-03-21,2022,3,21,55.0
2022-03-22,2022,3,22,49.0
2022-03-23,2022,3,23,61.0
2022-03-24,2022,3,24,77.0
2022-03-25,2022,3,25,98.0
2022-03-26,2022,3,26,105.0
2022-03-27,2022,3,27,100.0
2022-03-28,2022,3,28,88.0
2022-03-29,2022,3,29,82.0
2022-03-30,2022,3,30,82.0
2022-03-31,2022,3,31,75.0
2022-04-01,2022,4,1,74.0
2022-04-02,2022,4,2,131.0
2022-04-03,2022,4,3,155.0
2022-04-04,2022,4,4,153.0
2022-04-05,2022,4,5,138.0
2022-04-06,2022,4,6,114.0
2022-04-07,2022,4,7,88.0
2022-04-08,2022,4,8,68.0
2022-04-09,2022,4,9,55.0
2022-04-10,2022,4,10,47.0
2022-04-11,2022,4,11,43.0
2022-04-12,2022,4,12,42.0
2022-04-13,2022,4,13,44.0
2022-04-14,2022,4,14,43.0
2022-04-15,2022,4,15,44.0
2022-04-16,2022,4,16,60.0
2022-04-17,2022,4,17,76.0
2022-04-18,2022,4,18,80.0
2022-04-19,2022,4,19,76.0
2022-04-20,2022,4,20,79.0
2022-04-21,2022,4,21,86.0
2022-04-22,2022,4,22,87.0
2022-04-23,2022,4,23,83.0
2022-04-24,2022,4,24,77.0
2022-04-25,2022,4,25,71.0
2022-04-26,2022,4,26,58.0
2022-04-27,2022,4,27,46.0
2022-04-28,2022,4,28,34.0
2022-04-29,2022,4,29,31.0
2022-04-30,2022,4,30,30.0
2022-05-01,2022,5,1,38.0
2022-05-02,2022,5,2,47.0
2022-05-03,2022,5,3,58.0
2022-05-04,2022,5,4,69.0
2022-05-05,2022,5,5,65.0
2022-05-06,2022,5,6,56.0
2022-05-07,2022,5,7,49.0
2022-05-08,2022,5,8,51.0
2022-05-09,2022,5,9,52.0
2022-05-10,2022,5,10,53.0
2022-05-11,2022,5,11,53.0
2022-05-12,2022,5,12,60.0
2022-05-13,2022,5,13,69.0
2022-05-14,2022,5,14,77.0
2022-05-15,2022,5,15,78.0
2022-05-16,2022,5,16,91.0
2022-05-17,2022,5,17,92.0
2022-05-18,2022,5,18,103.0
2022-05-19,2022,5,19,107.0
2022-05-20,2022,5,20,108.0
2022-05-21,2022,5,21,108.0
2022-05-22,2022,5,22,123.0
2022-05-23,2022,5,23,234.0
2022-05-24,2022,5,24,386.0
2022-05-25,2022,5,25,457.0
2022-05-26,2022,5,26,462.0
2022-05-27,2022,5,27,444.0
2022-05-28,2022,5,28,424.0
2022-05-29,2022,5,29,415.0
2022-05-30,2022,5,30,402.0
2022-05-31,2022,5,31,405.0
2022-06-01,2022,6,1,420.0
2022-06-02,2022,6,2,437.0
2022-06-03,2022,6,3,433.0
2022-06-04,2022,6,4,393.0
2022-06-05,2022,6,5,358.0
2022-06-06,2022,6,6,322.0
2022-06-07,2022,6,7,316.0
2022-06-08,2022,6,8,321.0
2022-06-09,2022,6,9,305.0
2022-06-10,2022,6,10,281.0
2022-06-11,2022,6,11,248.0
2022-06-12,2022,6,12,209.0
2022-06-13,2022,6,13,170.0
2022-06-14,2022,6,14,164.0
2022-06-15,2022,6,15,191.0
2022-06-16,2022,6,16,209.0
2022-06-17,2022,6,17,216.0
2022-06-18,2022,6,18,210.0
2022-06-19,2022,6,19,203.0
2022-06-20,2022,6,20,183.0
2022-06-21,2022,6,21,148.0
2022-06-22,2022,6,22,114.0
2022-06-23,2022,6,23,92.0
2022-06-24,2022,6,24,84.0
2022-06-25,2022,6,25,78.0
2022-06-26,2022,6,26,74.0
2022-06-27,2022,6,27,104.0
2022-06-28,2022,6,28,108.0
2022-06-29,2022,6,29,112.0
2022-06-30,2022,6,30,154.0
2022-07-01,2022,7,1,196.0
2022-07-02,2022,7,2,192.0
2022-07-03,2022,7,3,177.0
2022-07-04,2022,7,4,155.0
2022-07-05,2022,7,5,136.0
2022-07-06,2022,7,6,174.0
2022-07-07,2022,7,7,203.0
2022-07-08,2022,7,8,248.0
2022-07-09,2022,7,9,253.0
2022-07-10,2022,7,10,240.0
2022-07-11,2022,7,11,230.0
2022-07-12,2022,7,12,270.0
2022-07-13,2022,7,13,305.0
2022-07-14,2022,7,14,331.0
2022-07-15,2022,7,15,339.0
2022-07-16,2022,7,16,330.0
2022-07-17,2022,7,17,303.0
2022-07-18,2022,7,18,270.0
2022-07-19,2022,7,19,252.0
2022-07-20,2022,7,20,253.0
2022-07-21,2022,7,21,278.0
2022-07-22,2022,7,22,327.0
2022-07-23,2022,7,23,341.0
2022-07-24,2022,7,24,324.0
2022-07-25,2022,7,25,296.0
2022-07-26,2022,7,26,264.0
2022-07-27,2022,7,27,227.0
2022-07-28,2022,7,28,192.0
2022-07-29,2022,7,29,164.0
2022-07-30,2022,7,30,143.0
2022-07-31,2022,7,31,148.0
2022-08-01,2022,8,1,138.0
2022-08-02,2022,8,2,116.0
2022-08-03,2022,8,3,94.0
2022-08-04,2022,8,4,76.0
2022-08-05,2022,8,5,75.0
2022-08-06,2022,8,6,80.0
